Port,State,Commodity,Entity,Type,Period,Value
Mundra,Crude,SPM,IOCL,Tied,2024-25,6.739022476
Mundra,Crude,SPM,HMEL,Tied,2024-25,13.18110724
Tuna,Crude,SPM,IOCL,Tied,2024-25,0
Tuna,Crude,SPM,HMEL,Tied,2024-25,0
Hazira,Crude,SPM,IOCL,Tied,2024-25,0
Hazira,Crude,SPM,HMEL,Tied,2024-25,0
Dighi,Crude,SPM,IOCL,Tied,2024-25,0
Dighi,Crude,SPM,HMEL,Tied,2024-25,0
Mundra,Crude,SPM,IOCL,Tied,2023-24,6.217619798
Mundra,Crude,SPM,HMEL,Tied,2023-24,12.54102757
Tuna,Crude,SPM,IOCL,Tied,2023-24,0
Tuna,Crude,SPM,HMEL,Tied,2023-24,0
Hazira,Crude,SPM,IOCL,Tied,2023-24,0
Hazira,Crude,SPM,HMEL,Tied,2023-24,0
Dighi,Crude,SPM,IOCL,Tied,2023-24,0
Dighi,Crude,SPM,HMEL,Tied,2023-24,0
Mundra,Crude,SPM,IOCL,Tied,2022-23,5.980549513
Mundra,Crude,SPM,HMEL,Tied,2022-23,13.05694848
Tuna,Crude,SPM,IOCL,Tied,2022-23,0
Tuna,Crude,SPM,HMEL,Tied,2022-23,0
Hazira,Crude,SPM,IOCL,Tied,2022-23,0
Hazira,Crude,SPM,HMEL,Tied,2022-23,0
Dighi,Crude,SPM,IOCL,Tied,2022-23,0
Dighi,Crude,SPM,HMEL,Tied,2022-23,0
Mundra,Crude,SPM,IOCL,Tied,2021-22,6.992478796
Mundra,Crude,SPM,HMEL,Tied,2021-22,13.14594737
Tuna,Crude,SPM,IOCL,Tied,2021-22,0
Tuna,Crude,SPM,HMEL,Tied,2021-22,0
Hazira,Crude,SPM,IOCL,Tied,2021-22,0
Hazira,Crude,SPM,HMEL,Tied,2021-22,0
Dighi,Crude,SPM,IOCL,Tied,2021-22,0
Dighi,Crude,SPM,HMEL,Tied,2021-22,0
Mundra,Dry,Agri Products,N/A,Mkt,2024-25,1.401761388
Tuna,Dry,Agri Products,N/A,Mkt,2024-25,1.846607929
Hazira,Dry,Agri Products,N/A,Mkt,2024-25,0.25792892
Dighi,Dry,Agri Products,N/A,Mkt,2024-25,0
